Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
706794,moderna on track to start phase coronavirus vaccine trial in july,https://www.benzinga.com/general/biotech/20/06/16233145/moderna-on-track-to-start-phase-3-coronavirus-vaccine-trial-in-july,Shanthi Rexaline,2020-06-11 10:37:56-04:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706795,shares of several healthcare companies are trading lower in sympathy with the overall market following an increase in coronavirus cases in some us states that have reopened leading to concerns of a second wave of the virus,https://www.benzinga.com/wiim/20/06/16233278/shares-of-several-healthcare-companies-are-trading-lower-in-sympathy-with-the-overall-market-followi,Benzinga Newsdesk,2020-06-11 10:22:31-04:00,JNJ,0,1,1,1,1,0,0,1,1,0.79295
706796,its not all covid and the fed lululemon reports after close and airline stocks dive,https://www.benzinga.com/news/earnings/20/06/16232419/its-not-all-covid-19-and-the-fed-lululemon-reports-after-close-and-airline-stocks-dive,JJ Kinahan,2020-06-11 09:38:43-04:00,JNJ,1,2,1,1,0,0,1,1,1,0.5
706797,a peek into the markets us stock futures tumble ahead of jobless claims report,https://www.benzinga.com/news/earnings/20/06/16229965/a-peek-into-the-markets-us-stock-futures-tumble-ahead-of-jobless-claims-report,Lisa Levin,2020-06-11 05:56:56-04:00,JNJ,1,1,1,1,1,1,1,1,1,0.5
706798,johnson johnson to start coronavirus vaccine human trials ahead of schedule in july,https://www.benzinga.com/general/biotech/20/06/16229020/johnson-johnson-to-start-coronavirus-vaccine-human-trials-ahead-of-schedule-in-july,Neer Varshney,2020-06-11 00:16:21-04:00,JNJ,1,2,1,0,1,1,1,1,1,0.5
706799,jj moves up human clinical trails of its covid vaccine to start in july ahead of planned september start,https://www.benzinga.com/news/20/06/16224439/j-j-moves-up-human-clinical-trails-of-its-covid-19-vaccine-to-start-in-july-ahead-of-planned-septemb,Benzinga Newsdesk,2020-06-10 13:05:15-04:00,JNJ,1,2,0,1,1,0,1,1,1,0.625
706800,jj is in talks to begin phase coronavirus vaccine trial ahead of schedule pending phase studies outcome regulatory approval,https://www.benzinga.com/news/20/06/16221456/j-j-is-in-talks-to-begin-phase-3-coronavirus-vaccine-trial-ahead-of-schedule-pending-phase-1-studies,Benzinga Newsdesk,2020-06-10 09:30:10-04:00,JNJ,1,2,1,1,1,1,1,1,1,0.81245
706801,nih official says us plans large studies of experimental coronavirus vaccines from moderna astrazeneca johnson johnson starting in july august september,https://www.benzinga.com/news/20/06/16219224/nih-official-says-u-s-plans-3-large-studies-of-experimental-coronavirus-vaccines-from-moderna-astraz,Charles Gross,2020-06-10 05:34:41-04:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706802,revlon chanel loréal are quietly removing talc from their products as cancer lawsuits mount report,https://www.benzinga.com/news/20/06/16208917/revlon-chanel-lor-al-are-quietly-removing-talc-from-their-products-as-cancer-lawsuits-mount-report,Neer Varshney,2020-06-09 10:15:31-04:00,JNJ,1,1,1,1,1,1,1,1,1,0.14079999999999998
706803,travel stocks lose momentum in premarket after leading yesterdays sharp rally,https://www.benzinga.com/news/20/06/16212137/travel-stocks-lose-momentum-in-pre-market-after-leading-yesterdays-sharp-rally,JJ Kinahan,2020-06-09 09:49:09-04:00,JNJ,1,1,1,1,1,1,1,1,1,0.29905000000000004
706809,update five companies chosen for vaccine finalist are moderna johnson johnson merck pfizer and astrazeneca,https://www.benzinga.com/news/20/06/16171726/update-five-companies-chosen-for-vaccine-finalist-are-moderna-johnson-johnson-merck-pfizer-and-astra,Benzinga Newsdesk,2020-06-03 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706810,pharma large and midcaps race against covid,https://www.benzinga.com/markets/20/06/16161758/pharma-large-and-mid-caps-race-against-covid-19,IAM Newswire,2020-06-02 00:00:00,JNJ,1,1,1,1,1,1,1,1,1,0.5
706811, blue chips that lived up to their title during the pandemic,https://www.benzinga.com/markets/20/06/16161759/4-blue-chips-that-lived-up-to-their-title-during-the-pandemic,IAM Newswire,2020-06-02 00:00:00,JNJ,1,0,1,1,0,1,1,1,1,0.5
706812,us army planning to test vaccines from moderna astrazeneca johnson johnson and sanofi army will test its own vaccine candidate in human trials later this summer,https://www.benzinga.com/news/20/06/16161358/u-s-army-planning-to-test-vaccines-from-moderna-astrazeneca-johnson-johnson-and-sanofi-army-will-tes,Benzinga Newsdesk,2020-06-02 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706813, sector etfs to buy and sell in june,https://www.benzinga.com/trading-ideas/long-ideas/20/06/16151190/4-sector-etfs-to-buy-and-sell-in-june,ETF Professor,2020-06-01 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706814,novavax begins phase clinical trial of its coronavirus vaccine,https://www.benzinga.com/news/20/05/16103023/novavax-begins-phase-1-clinical-trial-of-its-coronavirus-vaccine,Neer Varshney,2020-05-26 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706815,us health official says vaccines from jj sanofi merck may be added this summer as they complete phase safety studies,https://www.benzinga.com/general/biotech/20/05/16096380/us-health-official-says-vaccines-from-j-j-sanofi-merck-may-be-added-this-summer-as-they-complete-,Benzinga Newsdesk,2020-05-22 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.79295
706816,us says will test experimental coronavirus vaccines in people health official says oxford vaccine may be tested side by side with modernas starting in july,https://www.benzinga.com/general/biotech/20/05/16096378/us-says-will-test-experimental-coronavirus-vaccines-in-100-000-people-health-official-says-oxford,Benzinga Newsdesk,2020-05-22 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706817,johnson johnson pulls talcbased baby powder from us canada as cancer claims kill demand,https://www.benzinga.com/news/20/05/16071449/johnson-johnson-pulls-talc-based-baby-powder-from-us-canada-as-cancer-claims-kill-demand,Neer Varshney,2020-05-20 00:00:00,JNJ,1,1,1,1,1,1,1,0,1,0.05449999999999999
